Submission Time,Full name,Marital status,Gender,Religion,Date of birth,Current address,Highest formal of education,Faculty/Major,School/University name,Email address,WhatsApp number,Desired positions,Current status,Experience,Applied date,Portfolio (2MB),Upload CV (2MB),Portfolio link,Expected salary (IDR),Where did you find this job?,Consent,Skills
"Jun 01, 2025 @ 07:22 AM",Tira Uwais,Married,Female,Hindu,03/19/1991,"Gang Kebonjati No. 3, Pangkalpinang, LA 59710",S1/D4,Informatics,Institut Teknologi Bandung,laksanasitumorang@hotmail.com,547775172705,IT Support,Fulltime,1-3 years,05/25/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7627437,Indeed,checked,"['Figma', 'Azure', 'Networking']"
"Apr 13, 2025 @ 11:22 PM","Yulia Wijaya, S.E.I",Married,Male,Christian,04/30/1992,"Gg. Cihampelas No. 74, Tarakan, DKI Jakarta 52377",S1/D4,Teknik Komputer,Universitas Bina Nusantara,utamapuspita@gmail.com,859207441295,IT Support,Fulltime,3-5 years,05/26/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6844972,Website,checked,"['Node.js', 'Python', 'HTML', 'Azure', 'AWS', 'GCP']"
"Apr 08, 2025 @ 07:26 AM",Dr. Kamaria Sudiati,Married,Female,Catholic,11/03/1998,"Jl. H.J Maemunah No. 0, Binjai, Papua Barat 59576",SMA/SMK,Teknik Informatika,Universitas Gadjah Mada,asinaga@hotmail.com,876774646402,IT Support,Intern,More than 5 years,06/03/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7098141,Telegram Group,checked,"['AWS', 'React', 'Node.js', 'Azure', 'HTML', 'Figma']"
"Apr 24, 2025 @ 06:05 PM",Drs. Ivan Putra,Married,Female,Catholic,12/16/1990,"Gg. Cihampelas No. 66, Pekanbaru, Kalimantan Timur 52936",S1/D4,Informatics,Institut Teknologi Bandung,wibisonowinda@cv.gov,692131073405,Data Analyst,Unemployed,1-3 years,06/02/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://perum.sch.id/,8922126,Telegram Group,checked,"['AWS', 'Linux', 'CSS', 'Docker', 'Kubernetes', 'Azure']"
"Jan 06, 2025 @ 09:12 AM",Ir. Ani Maryadi,Single,Female,Christian,02/10/2000,"Gg. Moch. Ramdan No. 2, Banjarbaru, KS 47500",SMA/SMK,Sistem Informasi,Institut Teknologi Bandung,fitriathamrin@yahoo.com,792622336805,Backend Developer,Fulltime,1-3 years,05/20/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9569024,Glints,checked,"['Docker', 'Python', 'Linux']"
"Mar 03, 2025 @ 01:24 PM",Rosman Pranowo,Single,Male,Buddhist,02/20/2002,"Gang Siliwangi No. 3, Sawahlunto, Kalimantan Timur 95618",D3,Sistem Komputer,Universitas Terbuka,yuliantigantar@gmail.com,089592291521,IT Support,Fulltime,More than 5 years,06/06/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://www.perum.or.id/,9646991,LinkedIn,checked,"['Azure', 'React', 'HTML', 'Linux']"
"May 17, 2025 @ 05:06 AM",Sadina Salahudin,Single,Female,Catholic,11/25/1996,"Gg. Kutai No. 05, Probolinggo, SU 33869",S2,Sistem Komputer,Universitas Gunadarma,aprasetya@pt.web.id,121226497287,Backend Developer,Freelancer,3-5 years,06/04/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9371737,LinkedIn,checked,"['SQL', 'Python', 'Kubernetes', 'Linux']"
"May 29, 2025 @ 11:08 PM",Cemani Usada,Single,Male,Catholic,09/09/1989,"Jl. Ronggowarsito No. 1, Pekanbaru, Maluku 18157",S1/D4,Teknik Komputer,Universitas Gadjah Mada,uprakasa@ud.my.id,915835732522,Backend Developer,Unemployed,1-3 years,05/24/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5979665,Website,checked,"['JavaScript', 'Networking', 'React']"
"Jun 04, 2025 @ 01:20 PM","Zulaikha Zulkarnain, S.IP",Single,Female,Hindu,03/01/1998,"Jalan KH Amin Jasuta No. 9, Jambi, Kalimantan Selatan 35887",D3,Teknik Informatika,Universitas Gunadarma,jjailani@ud.net.id,544700204403,DevOps Engineer,Unemployed,Fresh graduate,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5096625,Glints,checked,"['CSS', 'Linux', 'Docker', 'Figma', 'JavaScript', 'SQL']"
"May 15, 2025 @ 01:41 PM","R.M. Ajimin Sitorus, S.Pt",Married,Female,Hindu,07/25/1989,"Gg. Rumah Sakit No. 64, Denpasar, Kalimantan Barat 77667",S2,Sistem Informasi,Universitas Gadjah Mada,rinisalahudin@hotmail.com,281446313622,Data Analyst,Freelancer,More than 5 years,06/04/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9754551,Instagram,checked,"['Linux', 'SQL', 'Kubernetes', 'CSS', 'GCP', 'Python']"
"Jun 10, 2025 @ 12:13 AM",Uchita Hariyah,Single,Female,Moslem,09/15/2003,"Gg. Peta No. 1, Yogyakarta, JT 02985",D3,Sistem Komputer,Universitas Gadjah Mada,suryonoqueen@pd.int,107112247472,Data Analyst,Unemployed,1-3 years,06/05/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6812521,Instagram,checked,"['Python', 'GCP', 'Figma', 'JavaScript']"
"Mar 17, 2025 @ 12:07 AM","Yusuf Utama, M.Kom.",Single,Male,Hindu,11/26/1990,"Jl. Medokan Ayu No. 52, Lubuklinggau, SU 62182",D3,Teknik Komputer,Universitas Bina Nusantara,uchita29@ud.net,887311503924,IT Support,Fulltime,More than 5 years,05/16/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4724685,LinkedIn,checked,"['GCP', 'Kubernetes', 'HTML', 'Linux', 'Docker']"
"Feb 13, 2025 @ 06:17 PM","Drs. Parman Riyanti, S.I.Kom",Married,Male,Hindu,10/21/1991,"Jl. Pasir Koja No. 69, Banda Aceh, YO 26895",S2,Sistem Komputer,Universitas Gunadarma,tiaramelani@perum.gov,693159968526,UI/UX Designer,Freelancer,More than 5 years,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8076518,Website,checked,"['Python', 'SQL', 'GCP', 'React', 'Linux', 'Kubernetes']"
"Apr 06, 2025 @ 08:14 AM",Jayadi Pratiwi,Single,Female,Christian,12/02/2000,"Gang Sukabumi No. 5, Pangkalpinang, Nusa Tenggara Barat 11702",D3,Sistem Komputer,Universitas Indonesia,gunartobagus@perum.id,483822983187,Data Analyst,Intern,3-5 years,06/06/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://pd.desa.id/,8231438,Telegram Group,checked,"['Docker', 'Networking', 'Figma', 'Node.js']"
"Feb 17, 2025 @ 01:14 PM",Cut Halima Siregar,Married,Male,Buddhist,08/28/1991,"Gang Ir. H. Djuanda No. 62, Makassar, KU 41167",S2,Manajemen Informatika,Universitas Terbuka,atmajabudiman@gmail.com,625601027134,Backend Developer,Unemployed,Fresh graduate,05/14/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8426257,Indeed,checked,"['Node.js', 'Azure', 'HTML', 'GCP']"
"May 21, 2025 @ 12:25 AM",Restu Padmasari,Single,Male,Catholic,04/03/1991,"Jalan Rumah Sakit No. 0, Padang, Nusa Tenggara Timur 63322",S2,Teknik Komputer,Institut Teknologi Bandung,prayogapangestu@hotmail.com,820345387785,UI/UX Designer,Unemployed,3-5 years,05/14/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5007202,LinkedIn,checked,"['GCP', 'JavaScript', 'Figma', 'Networking']"
"May 31, 2025 @ 08:10 AM",dr. Fitriani Pudjiastuti,Single,Female,Hindu,11/26/1989,"Gg. Jamika No. 6, Surabaya, JI 99158",S1/D4,Informatics,Universitas Indonesia,ujailani@pd.edu,576279957050,Backend Developer,Unemployed,3-5 years,05/25/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.ud.org/,7486890,LinkedIn,checked,"['Networking', 'Kubernetes', 'GCP', 'React', 'HTML']"
"Jan 13, 2025 @ 12:42 PM",Adinata Haryanto,Married,Female,Catholic,12/06/1991,"Jalan Tubagus Ismail No. 37, Subulussalam, SU 08152",D3,Teknik Informatika,Universitas Gadjah Mada,bnuraini@gmail.com,451475007865,UI/UX Designer,Unemployed,1-3 years,05/21/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4194436,Instagram,checked,"['Figma', 'Node.js', 'SQL', 'JavaScript', 'HTML']"
"Mar 10, 2025 @ 09:30 AM",Dr. Martani Pangestu,Married,Male,Moslem,04/19/1996,"Jalan Sadang Serang No. 619, Bandung, NB 20078",D3,Informatics,Universitas Gadjah Mada,xwijaya@gmail.com,926327524462,Frontend Developer,Fulltime,More than 5 years,05/27/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://cv.my.id/,5290308,LinkedIn,checked,"['Kubernetes', 'Azure', 'Docker', 'Python', 'AWS', 'GCP']"
"May 17, 2025 @ 10:50 AM",Parman Hutasoit,Single,Male,Buddhist,12/05/2002,"Jalan Sentot Alibasa No. 87, Padang, Kalimantan Tengah 77909",S2,Teknik Informatika,Universitas Gadjah Mada,najmudingasti@gmail.com,414787073610,UI/UX Designer,Unemployed,More than 5 years,05/21/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4261269,Website,checked,"['Linux', 'Figma', 'HTML']"
"May 06, 2025 @ 11:21 PM",Nyana Maryati,Single,Male,Hindu,01/30/1997,"Gang Cihampelas No. 15, Magelang, Jawa Barat 78675",S2,Sistem Informasi,Universitas Gunadarma,soleh99@hotmail.com,599914914231,IT Support,Unemployed,3-5 years,05/30/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4252277,Indeed,checked,"['Azure', 'Networking', 'Figma', 'JavaScript', 'SQL']"
"Apr 11, 2025 @ 08:41 PM","drg. Lukman Prabowo, M.Kom.",Single,Female,Christian,03/13/1990,"Gang Astana Anyar No. 23, Ternate, Jambi 42242",SMA/SMK,Informatics,Universitas Gadjah Mada,nsitompul@perum.mil,629929821446,IT Support,Intern,Fresh graduate,05/13/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5362010,LinkedIn,checked,"['React', 'Azure', 'SQL', 'AWS', 'Python']"
"Apr 02, 2025 @ 04:34 AM","R. Koko Laksita, S.IP",Married,Male,Christian,02/25/1999,"Jl. Soekarno Hatta No. 9, Lubuklinggau, Nusa Tenggara Barat 93636",D3,Teknik Informatika,Institut Teknologi Bandung,mulyono81@yahoo.com,053009331524,Frontend Developer,Intern,More than 5 years,05/14/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4362764,Telegram Group,checked,"['React', 'SQL', 'Figma', 'GCP', 'Python']"
"Jan 29, 2025 @ 06:19 AM","Puti Karimah Rajasa, S.Psi",Married,Female,Hindu,12/10/2001,"Gg. Soekarno Hatta No. 59, Kendari, AC 01422",SMA/SMK,Teknik Komputer,Universitas Bina Nusantara,marbungalih@yahoo.com,808609677252,IT Support,Freelancer,1-3 years,06/04/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5454632,Instagram,checked,"['Python', 'Node.js', 'SQL']"
"Apr 27, 2025 @ 02:41 AM",Nadine Mandasari,Married,Female,Moslem,08/12/1996,"Gg. Rajawali Barat No. 58, Makassar, KI 15639",S1/D4,Informatics,Universitas Gunadarma,taliaharyanto@cv.edu,570241345442,UI/UX Designer,Fulltime,More than 5 years,06/01/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6035797,Glints,checked,"['Docker', 'CSS', 'Kubernetes', 'SQL']"
"Jan 26, 2025 @ 10:19 PM",Puti Agnes Hastuti,Single,Male,Catholic,11/08/2000,"Jalan Kapten Muslihat No. 4, Batu, Maluku Utara 69965",D3,Sistem Komputer,Universitas Terbuka,ibrahimwulandari@yahoo.com,446102925812,Backend Developer,Unemployed,Fresh graduate,06/06/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4841799,Website,checked,"['SQL', 'JavaScript', 'CSS', 'GCP']"
"Feb 02, 2025 @ 05:32 AM",Heru Yolanda,Single,Male,Hindu,11/03/1990,"Gang Gardujati No. 31, Solok, ST 10742",S1/D4,Teknik Komputer,Universitas Gadjah Mada,cahyono65@yahoo.com,151496636699,UI/UX Designer,Freelancer,1-3 years,05/23/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4968534,Instagram,checked,"['Linux', 'SQL', 'Node.js', 'HTML', 'React', 'Networking']"
"Feb 09, 2025 @ 05:02 PM","Jayeng Laksmiwati, S.E.I",Single,Male,Buddhist,04/13/1997,"Gang Cikutra Timur No. 2, Lubuklinggau, Kalimantan Tengah 82698",SMA/SMK,Manajemen Informatika,Universitas Bina Nusantara,swinarsih@cv.desa.id,001312737473,DevOps Engineer,Unemployed,More than 5 years,06/10/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7938946,Telegram Group,checked,"['Networking', 'Azure', 'SQL']"
"Mar 16, 2025 @ 02:10 AM","Dr. Gamblang Utama, S.Farm",Single,Female,Buddhist,09/07/1989,"Jl. Ciumbuleuit No. 9, Kendari, SG 56416",D3,Teknik Informatika,Institut Teknologi Bandung,zulkarnaindariati@pt.desa.id,444858129348,Backend Developer,Fulltime,3-5 years,06/10/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5937253,Glints,checked,"['SQL', 'CSS', 'Python', 'GCP', 'Linux', 'Docker']"
"Jan 30, 2025 @ 04:36 PM","drg. Dimas Riyanti, S.Sos",Married,Male,Christian,02/01/1993,"Jalan Raya Ujungberung No. 0, Lubuklinggau, LA 34460",S2,Sistem Komputer,Universitas Indonesia,prayoga95@pd.my.id,073312176625,UI/UX Designer,Fulltime,3-5 years,06/11/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5078842,Glints,checked,"['Kubernetes', 'Linux', 'AWS', 'React', 'HTML', 'Docker']"
"Apr 29, 2025 @ 08:08 PM","Cut Zaenab Hasanah, M.Ak",Married,Male,Hindu,10/07/1993,"Gg. Sadang Serang No. 6, Semarang, Kalimantan Selatan 00097",D3,Sistem Komputer,Universitas Gunadarma,reksahastuti@pd.ponpes.id,399508968183,Backend Developer,Freelancer,3-5 years,06/01/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7532486,LinkedIn,checked,"['Node.js', 'Azure', 'SQL', 'AWS', 'GCP']"
"Mar 20, 2025 @ 08:59 AM","Salimah Prabowo, S.Pt",Married,Female,Moslem,10/12/1992,"Gang Moch. Toha No. 3, Samarinda, Sulawesi Barat 56032",S2,Manajemen Informatika,Universitas Terbuka,asamosir@yahoo.com,654622493703,IT Support,Unemployed,Fresh graduate,05/31/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7481933,Telegram Group,checked,"['Azure', 'Kubernetes', 'Python', 'Node.js', 'GCP']"
"May 04, 2025 @ 12:51 AM",Adiarja Hassanah,Single,Female,Buddhist,12/16/1998,"Gg. Sukabumi No. 2, Bukittinggi, JA 31340",S2,Sistem Komputer,Universitas Indonesia,wastuticengkir@hotmail.com,177791612715,DevOps Engineer,Intern,Fresh graduate,06/08/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8788328,Telegram Group,checked,"['GCP', 'Networking', 'SQL', 'Python', 'Docker']"
"Apr 04, 2025 @ 05:45 AM",Agus Sinaga,Married,Female,Christian,03/02/2001,"Gang Lembong No. 1, Pekanbaru, Sulawesi Barat 39374",S1/D4,Sistem Komputer,Universitas Terbuka,vinsensudiati@pd.biz.id,636473785175,Data Analyst,Intern,3-5 years,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4585234,Telegram Group,checked,"['React', 'Figma', 'Docker']"
"Apr 29, 2025 @ 02:42 AM","Umay Setiawan, S.E.I",Married,Male,Hindu,12/17/1991,"Gang Ahmad Dahlan No. 1, Pariaman, Kalimantan Tengah 61249",S2,Sistem Informasi,Universitas Bina Nusantara,wrahimah@perum.edu,902159304667,IT Support,Fulltime,1-3 years,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6294333,Website,checked,"['Linux', 'CSS', 'HTML']"
"May 05, 2025 @ 06:35 PM",Chelsea Hidayanto,Married,Male,Moslem,04/15/2002,"Jl. Soekarno Hatta No. 631, Bau-Bau, SU 82683",S2,Informatics,Universitas Indonesia,cagernurdiyanti@perum.web.id,857295207058,UI/UX Designer,Unemployed,More than 5 years,05/15/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8835958,Indeed,checked,"['SQL', 'JavaScript', 'Node.js', 'Figma', 'Networking', 'Kubernetes']"
"Jan 25, 2025 @ 10:07 AM",Tgk. Hadi Thamrin,Married,Male,Catholic,05/17/1994,"Gang Yos Sudarso No. 28, Semarang, MA 27497",D3,Teknik Informatika,Universitas Indonesia,nasim95@yahoo.com,300929438256,IT Support,Fulltime,More than 5 years,05/31/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8537030,Website,checked,"['Python', 'JavaScript', 'SQL', 'GCP', 'HTML', 'Linux']"
"Jan 22, 2025 @ 11:15 PM","Limar Kurniawan, S.IP",Single,Female,Hindu,04/19/2004,"Jalan Dipenogoro No. 052, Palembang, DI Yogyakarta 59986",SMA/SMK,Sistem Komputer,Universitas Gadjah Mada,jaswadi87@gmail.com,803537970194,UI/UX Designer,Unemployed,1-3 years,05/25/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://pt.web.id/,8600200,Indeed,checked,"['Linux', 'CSS', 'Docker', 'SQL', 'Python']"
"Mar 30, 2025 @ 12:53 PM",Ir. Rusman Dongoran,Single,Female,Christian,05/03/2002,"Jalan Surapati No. 6, Sukabumi, SB 71319",SMA/SMK,Teknik Informatika,Universitas Bina Nusantara,lestariparman@yahoo.com,793003113165,IT Support,Unemployed,3-5 years,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9186398,Telegram Group,checked,"['Figma', 'SQL', 'HTML', 'JavaScript', 'Node.js', 'React']"
"Feb 01, 2025 @ 05:13 AM","Tina Melani, S.Pt",Married,Male,Catholic,11/03/2003,"Gang Antapani Lama No. 535, Cimahi, LA 56062",SMA/SMK,Teknik Informatika,Universitas Terbuka,simanjuntakbala@pd.go.id,383573716940,Frontend Developer,Fulltime,1-3 years,05/19/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8093411,Instagram,checked,"['Figma', 'Networking', 'Azure', 'SQL', 'Linux']"
"Apr 16, 2025 @ 04:58 AM",Cinthia Prakasa,Single,Male,Hindu,06/25/2003,"Jl. Cikutra Barat No. 974, Meulaboh, Nusa Tenggara Barat 36929",D3,Teknik Informatika,Institut Teknologi Bandung,kfirgantoro@yahoo.com,331921204812,Data Analyst,Fulltime,3-5 years,05/18/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4243758,Indeed,checked,"['Python', 'CSS', 'SQL', 'Linux', 'Docker']"
"Jan 05, 2025 @ 09:02 AM",Lalita Dabukke,Single,Male,Christian,11/17/2003,"Gang Moch. Ramdan No. 87, Padangpanjang, MU 94483",D3,Sistem Informasi,Universitas Gunadarma,dongoranolivia@gmail.com,896983754815,UI/UX Designer,Freelancer,1-3 years,06/03/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8269910,Instagram,checked,"['Kubernetes', 'HTML', 'SQL', 'Linux', 'Azure', 'Docker']"
